id,data,hora_brasilia,fase,grupo,etapa,mandante,visitante,gols_mandante,gols_visitante,pen_mandante,pen_visitante,cidade,estadio
G_A_1,2026-06-11,16:00,grupos,A,Rodada 1,México 🇲🇽,África do Sul 🇿🇦,,,,,Cidade do México,Estádio Azteca
G_A_2,2026-06-11,23:00,grupos,A,Rodada 1,Coreia do Sul 🇰🇷,Repescagem Europa 4,,,,,Guadalajara,Estádio Akron
G_A_3,2026-06-18,13:00,grupos,A,Rodada 2,Repescagem Europa 4,África do Sul 🇿🇦,,,,,Atlanta,Mercedes-Benz Stadium
G_A_4,2026-06-18,22:00,grupos,A,Rodada 2,México 🇲🇽,Coreia do Sul 🇰🇷,,,,,Guadalajara,Estádio Akron
G_A_5,2026-06-24,22:00,grupos,A,Rodada 3,Repescagem Europa 4,México 🇲🇽,,,,,Cidade do México,Estádio Azteca
G_A_6,2026-06-24,22:00,grupos,A,Rodada 3,África do Sul 🇿🇦,Coreia do Sul 🇰🇷,,,,,Monterrey,Estadio BBVA
G_B_1,2026-06-12,16:00,grupos,B,Rodada 1,Canadá 🇨🇦,Repescagem Europa 1,,,,,Toronto,BMO Field
G_B_2,2026-06-13,16:00,grupos,B,Rodada 1,Catar 🇶🇦,Suíça 🇨🇭,,,,,São Francisco,Levi's Stadium
G_B_3,2026-06-18,16:00,grupos,B,Rodada 2,Canadá 🇨🇦,Catar 🇶🇦,,,,,Los Angeles,SoFi Stadium
G_B_4,2026-06-18,19:00,grupos,B,Rodada 2,Suíça 🇨🇭,Repescagem Europa 1,,,,,Vancouver,BC Place
G_B_5,2026-06-24,16:00,grupos,B,Rodada 3,Suíça 🇨🇭,Canadá 🇨🇦,,,,,Vancouver,BC Place
G_B_6,2026-06-24,16:00,grupos,B,Rodada 3,Repescagem Europa 1,Catar 🇶🇦,,,,,Seattle,Lumen Field
G_C_1,2026-06-13,19:00,grupos,C,Rodada 1,Brasil 🇧🇷,Marrocos 🇲🇦,,,,,Nova York,MetLife Stadium
